"","Gene_Symbol","Ensembl_ID","region"
"1","Wnt3","ENSMUSG00000000125","AMY, CER, dDG, vDG"
"2","Wnt9a","ENSMUSG00000000126","dDG, PFC, vDG"
"3","Axin2","ENSMUSG00000000142","PVN"
"4","Dlat","ENSMUSG00000000168","dCA1"
"5","Btbd17","ENSMUSG00000000202","dDG"
"6","Lhx2","ENSMUSG00000000247","dCA1"
"7","Tpd52l1","ENSMUSG00000000296","dDG, dCA1"
"8",NA,"ENSMUSG00000000325","AMY, CER, dDG, vDG"
"9","Dbt","ENSMUSG00000000340","dCA1"
"10","Cttnbp2","ENSMUSG00000000416","CER, dDG, PFC"
"11","Galnt1","ENSMUSG00000000420","dCA1, vCA1"
"12","Tamalin","ENSMUSG00000000531","CER, dDG, PVN, vDG"
"13","Acvr1b","ENSMUSG00000000532","dDG, PFC"
"14","Sox9","ENSMUSG00000000567","AMY, CER, dDG, dCA1, PFC, PVN, vDG, vCA1"
"15","Krit1","ENSMUSG00000000600","CER"
"16","Bcl11a","ENSMUSG00000000861","CER, dDG, dCA1"
"17","Mmp14","ENSMUSG00000000957","AMY, CER"
"18","Mapk7","ENSMUSG00000001034","dCA1"
"19","Epn2","ENSMUSG00000001036","AMY, CER"
"20","Ocrl","ENSMUSG00000001173","AMY, CER, dDG, PFC, PVN, vDG"
"21","Ramp2","ENSMUSG00000001240","CER, dCA1, vDG"
"22","Efnb2","ENSMUSG00000001300","vCA1"
"23","Fndc5","ENSMUSG00000001334","dCA1"
"24","Mef2d","ENSMUSG00000001419","dDG"
"25","Slc19a1","ENSMUSG00000001436","dCA1"
"26","Nrip2","ENSMUSG00000001520","CER, dCA1"
"27","Tulp3","ENSMUSG00000001521","dCA1, PFC, vCA1"
"28","Tubb5","ENSMUSG00000001525","dCA1"
"29","Ell2","ENSMUSG00000001542","CER, dCA1, PVN, vDG"
"30","Ifrd1","ENSMUSG00000001627","AMY, CER, dDG, dCA1, PFC, PVN, vDG, vCA1"
"31","Gramd3","ENSMUSG00000001700","AMY, CER, dDG, dCA1, PFC, vDG"
"32","Rin2","ENSMUSG00000001768","AMY, CER, dDG, dCA1, PFC, PVN, vDG, vCA1"
"33","Fbxo7","ENSMUSG00000001786","AMY"
"34","Septin7","ENSMUSG00000001833","AMY, CER, PVN, vDG"
"35","Aif1l","ENSMUSG00000001864","AMY, dDG"
"36","Ugp2","ENSMUSG00000001891","CER, vCA1"
"37","Nfix","ENSMUSG00000001911","CER, dDG, dCA1, PFC, vDG, vCA1"
"38","Esam","ENSMUSG00000001946","vDG"
"39","Srpk3","ENSMUSG00000002007","CER"
"40","Kmt2a","ENSMUSG00000002028","PFC"
"41","Celf2","ENSMUSG00000002107","dDG"
"42","Spi1","ENSMUSG00000002111","AMY, dDG, dCA1, PFC, PVN, vDG"
"43","Ppard","ENSMUSG00000002250","AMY, CER, PVN, vDG"
"44","Angptl4","ENSMUSG00000002289","dDG, dCA1, PFC, vDG, vCA1"
"45","Ncan","ENSMUSG00000002341","AMY, CER, dDG"
"46","Nr2f6","ENSMUSG00000002393","PFC"
"47","Rgs20","ENSMUSG00000002459","CER, dDG, dCA1, PFC, vDG, vCA1"
"48","Tiam1","ENSMUSG00000002489","CER"
"49","Baz1b","ENSMUSG00000002748","dCA1"
"50","Mea1","ENSMUSG00000002768","PFC"
"51","Epdr1","ENSMUSG00000002808","dDG"
"52","Plin4","ENSMUSG00000002831","AMY, CER, dDG, dCA1, PFC, PVN, vDG, vCA1"
"53","Hdgfl2","ENSMUSG00000002833","AMY"
"54","Nab1","ENSMUSG00000002881","PFC"
"55","Adgre5","ENSMUSG00000002885","CER"
"56","Arrdc2","ENSMUSG00000002910","AMY, CER, dDG, dCA1, PVN, vDG, vCA1"
"57","Prkar2b","ENSMUSG00000002997","dDG, PFC"
"58","Lipe","ENSMUSG00000003123","AMY, CER, PVN, vDG"
"59","Sh3gl1","ENSMUSG00000003200","CER, dDG, dCA1"
"60","Elavl3","ENSMUSG00000003410","AMY, dDG"
"61","St8sia6","ENSMUSG00000003418","CER, dDG"
"62","Impdh1","ENSMUSG00000003500","dDG"
"63","Prodh","ENSMUSG00000003526","vDG"
"64","Ddr1","ENSMUSG00000003534","AMY, CER, dCA1, PVN, vDG, vCA1"
"65","Ier3","ENSMUSG00000003541","AMY, dCA1, PFC, PVN"
"66","Rnf215","ENSMUSG00000003581","dDG"
"67","Cp","ENSMUSG00000003617","AMY, CER, dDG, PFC, vDG"
"68","Rps6ka1","ENSMUSG00000003644","dDG, dCA1, vDG"
"69","Man1a","ENSMUSG00000003746","PFC"
"70","Nfat5","ENSMUSG00000003847","CER, PFC, vDG"
"71","Il7r","ENSMUSG00000003882","AMY, PFC"
"72","Efnb3","ENSMUSG00000003934","AMY, PVN"
