Category	GeneSet	N_genes	N_overlap	p	adjP	genes	link
GO_bp	GO_CELL_ACTIVATION	879	100	1.844334789273663e-07	0.0013555860701161423	TNFRSF4:PIK3CD:CDA:RUNX3:FGR:MPL:CTSS:S100A11:S100A13:LAMTOR2:SLAMF6:SH2D1B:CREG1:SELL:QSOX1:LAX1:ITPKB:KLF6:ZMIZ1:SWAP70:TBC1D10C:GSTP1:PRCP:ZBTB16:CLEC4C:DERA:LRMP:ARHGAP9:RAP1B:LYZ:APAF1:SELPLG:NHLRC3:GPR18:TNFSF13B:PNP:PRKCH:BCL11B:PLEKHO2:FES:PDPK1:PDPK2:MMP25:ITGAL:ALOX12:ORMDL3:ITGA2B:ITGB3:ITGB3:TIMP2:GNA15:TNFSF14:PRAM1:SLC44A2:RASAL3:CEACAM3:BCL3:FTL:LILRA3:FCAR:CTB-61M7.2:GP6:DYSF:CXCR2:DOCK10:INPP5D:DGKD:CD93:CST3:PYGB:CPNE1:ADA:PREX1:PKNOX1:CSTB:ITGB2:TNFRSF13C:PLCL2:GLB1:CCR2:EPHB1:METAP1:F2R:SLCO4C1:PJA2:MEGF10:IRF1:ITK:SERPINB6:LST1:CCND3:HEBP2:GNA12:LAT2:CD36:BRI3:DNAJB9:CTSB:ASAH1:PAG1:DOCK8:OSTF1:GNAQ	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_CELL_ACTIVATION
GO_bp	GO_CELL_MOTILITY	675	79	1.463097086603144e-06	0.005376881793266555	PIK3CD:CLIC4:FGR:PHACTR4:CSF3R:TGFBR3:SELL:LYST:CAMK1D:SPOCK2:SWAP70:CFL1:GSTP1:PRCP:ARHGDIB:SELPLG:SSH1:ARPC3:PDS5B:GPC6:GPR18:BCL11B:FES:PDPK1:PDPK2:TAOK2:ITGAL:GLG1:FBXO31:CXCL16:ALOX12:NDEL1:CDK5R1:ITGA2B:ITGB3:ITGB3:ABI3:SLC9A3R1:TNFSF14:CEACAM3:RRAS:GP6:ITGB1BP1:ADCY3:MEMO1:DYSF:ZEB2:TNS1:CXCR2:DOCK10:INPP5D:MKKS:ADA:PREX1:ITGB2:ADARB1:PPM1F:TSPO:PLXNB2:IQSEC1:CCR1:CCR2:SETD2:PARP9:EPHB1:F2R:MEGF10:PHACTR1:GPSM3:ANKS1A:SGK1:FBXO5:GNA12:FSCN1:TNS3:EPHB4:TP53INP1:DOCK8:GLIPR2:ZFAND5:KLF4	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_CELL_MOTILITY
GO_bp	GO_LOCOMOTION	776	87	2.490667142839069e-06	0.006102134499955719	PIK3CD:LYPLA2:CLIC4:FGR:PHACTR4:CSF3R:TGFBR3:SELL:LYST:CAMK1D:SPOCK2:TRIM21:SWAP70:BDNF:CFL1:GSTP1:PRCP:NCAM1:ARHGDIB:SELPLG:SSH1:ARPC3:PDS5B:GPC6:GPR18:BCL11B:FES:PDPK1:PDPK2:TAOK2:ITGAL:VPS35:CMTM2:GLG1:FBXO31:CXCL16:ALOX12:NDEL1:CDK5R1:ITGA2B:ITGB3:ITGB3:ABI3:SLC9A3R1:TNFSF14:CEACAM3:RRAS:GP6:ITGB1BP1:ADCY3:MEMO1:DYSF:ZEB2:TNS1:CXCR2:DOCK10:INPP5D:MKKS:CHMP4B:ADA:PREX1:ITGB2:ADARB1:PPM1F:TSPO:PLXNB2:TYMP:IQSEC1:CCR1:CCR2:SETD2:PARP9:EPHB1:F2R:MEGF10:PHACTR1:GPSM3:ANKS1A:SGK1:FBXO5:GNA12:FSCN1:TNS3:EPHB4:TP53INP1:DOCK8:GLIPR2:ZFAND5:KLF4	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_LOCOMOTION
GO_bp	GO_MYELOID_LEUKOCYTE_MEDIATED_IMMUNITY	416	53	8.493173444581053e-06	0.015606206204417685	PIK3CD:CDA:FGR:CTSS:S100A11:S100A13:LAMTOR2:CREG1:SELL:QSOX1:TBC1D10C:GSTP1:PRCP:CLEC4C:DERA:LRMP:ARHGAP9:RAP1B:LYZ:APAF1:NHLRC3:PNP:PLEKHO2:FES:PDPK1:PDPK2:MMP25:ITGAL:ORMDL3:TIMP2:PRAM1:SLC44A2:CEACAM3:FTL:LILRA3:FCAR:CTB-61M7.2:CXCR2:CD93:CST3:PYGB:CPNE1:CSTB:ITGB2:GLB1:CCR2:SLCO4C1:SERPINB6:HEBP2:LAT2:CD36:BRI3:CTSB:ASAH1:OSTF1	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_MYELOID_LEUKOCYTE_MEDIATED_IMMUNITY
GO_bp	GO_CELL_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE	509	61	1.243938471311284e-05	0.018285895528275874	PIK3CD:CDA:FGR:CTSS:S100A11:S100A13:LAMTOR2:SLAMF6:SH2D1B:CREG1:SELL:QSOX1:SWAP70:TBC1D10C:GSTP1:PRCP:CLEC4C:DERA:LRMP:ARHGAP9:RAP1B:LYZ:APAF1:NHLRC3:PNP:PLEKHO2:FES:PDPK1:PDPK2:MMP25:ITGAL:ORMDL3:TIMP2:PRAM1:SLC44A2:CEACAM3:BCL3:FTL:LILRA3:FCAR:CTB-61M7.2:DYSF:CXCR2:DOCK10:CD93:CST3:PYGB:CPNE1:ADA:CSTB:ITGB2:PLCL2:GLB1:CCR2:SLCO4C1:SERPINB6:HEBP2:LAT2:CD36:BRI3:CTSB:ASAH1:OSTF1	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_CELL_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE
GO_bp	GO_MYELOID_LEUKOCYTE_ACTIVATION	462	56	2.0780319982361613e-05	0.025455891978392976	PIK3CD:CDA:FGR:CTSS:S100A11:S100A13:LAMTOR2:CREG1:SELL:QSOX1:TBC1D10C:GSTP1:PRCP:CLEC4C:DERA:LRMP:ARHGAP9:RAP1B:LYZ:APAF1:NHLRC3:PNP:PLEKHO2:FES:PDPK1:PDPK2:MMP25:ITGAL:ORMDL3:TIMP2:PRAM1:SLC44A2:CEACAM3:FTL:LILRA3:FCAR:CTB-61M7.2:DYSF:CXCR2:CD93:CST3:PYGB:CPNE1:PREX1:CSTB:ITGB2:GLB1:CCR2:SLCO4C1:PJA2:SERPINB6:HEBP2:LAT2:CD36:BRI3:CTSB:ASAH1:OSTF1	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_MYELOID_LEUKOCYTE_ACTIVATION
GWAScatalog	Granulocyte percentage of myeloid white cells	92	20	3.3756013387928947e-06	0.006126716429909105	CSF3R:LSP1:ZBTB16:NINJ2:FOXJ2:LYZ:LSP1:GLG1:TNFSF14:NFIX:THADA:CXCR2:DOCK10:SCO2:CCR2:SETD2:TBC1D14:LST1:CCND3:FAM46A:DOCK8	
Chemical_and_Genetic_pertubation	CHEN_METABOLIC_SYNDROM_NETWORK	668	83	5.5989577046323505e-08	0.00018487758340696023	NIPAL3:LAPTM5:CSF3R:CTSS:S100A11:SLAMF6:CREG1:RGS18:RGS2:PFKP:SRGN:STAMBPL1:LIPA:PTPRE:RNH1:FAM111A:CFL1:PITPNM1:ARAP1:PRCP:PHLDB1:CLEC4C:ARHGDIB:LRMP:SLC48A1:ARHGAP9:LYZ:HAL:TNFSF13B:RAB8B:FES:HAGH:IGSF6:ITGAL:LPCAT2:CXCL16:ASGR1:CRLF3:ADAP2:ABI3:SSTR2:DCXR:ARID3A:KLF1:MYO9B:GMIP:HCST:PLD3:BLVRB:HPCAL1:ARHGAP25:DYSF:ARHGAP15:STAT4:DOCK10:INPP5D:ACSS1:BTG3:IFNAR2:AP000295.9:CSTB:ITGB2:DUSP18:MCM5:CSF2RB:PLXNB2:ARPC4:GLB1:VCAN:GLRX:RGS14:SERPINB6:LY86:GPSM3:TBPL1:FSCN1:LAT2:CD36:CTSB:ASAH1:AZIN1:DOCK8:OSTF1:TLE4	http://www.gsea-msigdb.org/gsea/msigdb/cards/CHEN_METABOLIC_SYNDROM_NETWORK
Chemical_and_Genetic_pertubation	LEE_DIFFERENTIATING_T_LYMPHOCYTE	153	28	1.6169160318328409e-06	0.0026695283685560203	LAPTM5:CD247:SELL:LAX1:CAMK1D:TBC1D10C:UCP2:ARHGDIB:ARHGAP9:SELPLG:GTF3A:PRKCH:BCL11B:KLF13:ITGAL:SLC9A3R1:ZNF397:ARHGAP25:ARHGAP15:IFNAR2:AP000295.9:ITGB2:ITK:PSMB9:CCND3:PAG1:TMEM71:SLA:DOCK8	http://www.gsea-msigdb.org/gsea/msigdb/cards/LEE_DIFFERENTIATING_T_LYMPHOCYTE
Chemical_and_Genetic_pertubation	WALLACE_PROSTATE_CANCER_RACE_UP	194	32	3.1348015819332242e-06	0.0034503716078478353	RUNX3:LAPTM5:CTSS:SELL:ITIH5:SRGN:LSP1:UCP2:LYZ:OAS2:LSP1:GPR18:BCL11B:PLEKHO2:ISG20:ITGAL:RASGRP3:ARHGAP25:ARHGAP15:WIPF1:DOCK10:CD93:ITGB2:CSF2RB:TYMP:SEPT11:GLRX:IRF1:ITK:PSMB9:GIMAP6:SLA:TLE4	http://www.gsea-msigdb.org/gsea/msigdb/cards/WALLACE_PROSTATE_CANCER_RACE_UP
