seqnames	start	end	width	strand	annot.seqnames	annot.start	annot.end	annot.width	annot.strand	annot.name	annot.score	annot.itemRgb	annot.thick.start	annot.thick.end	annot.thick.width	CpG_ID
chr1	100151394	100151444	51	*	chr1	100151428	100151520	93	*	nr3c1	1	#7038A8	100151467	100151467	1	cg05009352
chr1	100193478	100193528	51	*	chr1	100193466	100193645	180	*	nr3c1	1	#7038A8	100193558	100193558	1	cg03360767
chr1	100502496	100502546	51	*	chr1	100502373	100502689	317	*	nr3c1	4	#7038A8	100502530	100502530	1	cg25671400
chr1	100502575	100502625	51	*	chr1	100502373	100502689	317	*	nr3c1	4	#7038A8	100502530	100502530	1	cg11347139
chr1	10271610	10271660	51	*	chr1	10271546	10271755	210	*	nr3c1	2	#7038A8	10271676	10271676	1	cg25830243
chr1	10271528	10271578	51	*	chr1	10271546	10271755	210	*	nr3c1	2	#7038A8	10271676	10271676	1	cg06979961
chr1	10271542	10271592	51	*	chr1	10271546	10271755	210	*	nr3c1	2	#7038A8	10271676	10271676	1	cg13790717
chr1	10314029	10314079	51	*	chr1	10313862	10314070	209	*	nr3c1	2	#7038A8	10313968	10313968	1	cg23716690
chr1	10567563	10567613	51	*	chr1	10567598	10567764	167	*	nr3c1	1	#7038A8	10567713	10567713	1	cg17425144
chr1	10447997	10448047	51	*	chr1	10447562	10448001	440	*	nr3c1	6	#7038A8	10447789	10447789	1	cg03534684
chr1	10490236	10490286	51	*	chr1	10490283	10491092	810	*	nr3c1	10	#7038A8	10490505	10490505	1	cg09578353
chr1	10490806	10490856	51	*	chr1	10490283	10491092	810	*	nr3c1	10	#7038A8	10490505	10490505	1	cg15888996
chr1	108596198	108596248	51	*	chr1	108595977	108596566	590	*	nr3c1	3	#7038A8	108596230	108596230	1	cg08133396
chr1	109359175	109359225	51	*	chr1	109359115	109359208	94	*	nr3c1	2	#7038A8	109359148	109359148	1	cg16315020
chr1	109941072	109941122	51	*	chr1	109940949	109941090	142	*	nr3c1	1	#7038A8	109940999	109940999	1	cg23032129
chr1	109741037	109741087	51	*	chr1	109740929	109741260	332	*	nr3c1	2	#7038A8	109741023	109741023	1	cg04619882
chr1	110933345	110933395	51	*	chr1	110933208	110933480	273	*	nr3c1	2	#7038A8	110933342	110933342	1	cg25320780
chr1	112286575	112286625	51	*	chr1	112286177	112286795	619	*	nr3c1	7	#7038A8	112286491	112286491	1	cg11993619
chr1	113045452	113045502	51	*	chr1	113045419	113045610	192	*	nr3c1	1	#7038A8	113045565	113045565	1	cg01257529
chr1	115300787	115300837	51	*	chr1	115299730	115300868	1139	*	nr3c1	19	#7038A8	115300318	115300318	1	cg08837148
