seqnames	start	end	width	strand	annot.seqnames	annot.start	annot.end	annot.width	annot.strand	annot.name	annot.score	annot.itemRgb	annot.thick.start	annot.thick.end	annot.thick.width	CpG_ID
chr7	127228948	127228998	51	*	chr7	127228992	127229158	167	*	nr3c1	2	#7038A8	127229047	127229047	1	cg00057661
chr20	42186445	42186495	51	*	chr20	42186283	42186445	163	*	nr3c1	2	#7038A8	42186362	42186362	1	cg00102060
chr17	53820610	53820660	51	*	chr17	53820519	53820655	137	*	nr3c1	1	#7038A8	53820604	53820604	1	cg00102084
chr1	247242130	247242180	51	*	chr1	247241825	247242300	476	*	nr3c1	7	#7038A8	247242118	247242118	1	cg00106446
chr13	50656747	50656797	51	*	chr13	50656760	50656994	235	*	nr3c1	3	#7038A8	50656845	50656845	1	cg00135815
chr7	99102892	99102942	51	*	chr7	99102599	99103043	445	*	nr3c1	9	#7038A8	99102865	99102865	1	cg00155700
chr16	69966973	69967023	51	*	chr16	69967016	69967198	183	*	nr3c1	1	#7038A8	69967087	69967087	1	cg00158530
chr8	19271585	19271635	51	*	chr8	19271482	19271675	194	*	nr3c1	3	#7038A8	19271526	19271526	1	cg00158770
chr6	139861189	139861239	51	*	chr6	139861037	139861300	264	*	nr3c1	4	#7038A8	139861171	139861171	1	cg00182893
chr17	79269466	79269516	51	*	chr17	79268576	79269825	1250	*	nr3c1	12	#7038A8	79269229	79269229	1	cg00187671
chr7	23054843	23054893	51	*	chr7	23054858	23055046	189	*	nr3c1	2	#7038A8	23054953	23054953	1	cg00188811
chr6	135260435	135260485	51	*	chr6	135260459	135260580	122	*	nr3c1	1	#7038A8	135260543	135260543	1	cg00211069
chr9	2015104	2015154	51	*	chr9	2015037	2015253	217	*	nr3c1	2	#7038A8	2015121	2015121	1	cg00234293
chr20	43343233	43343283	51	*	chr20	43342743	43343596	854	*	nr3c1	23	#7038A8	43343139	43343139	1	cg00240880
chr11	68658969	68659019	51	*	chr11	68658919	68659149	231	*	nr3c1	1	#7038A8	68659098	68659098	1	cg00242965
chr2	131622518	131622568	51	*	chr2	131622410	131622779	370	*	nr3c1	6	#7038A8	131622590	131622590	1	cg00244312
chr1	12616550	12616600	51	*	chr1	12616498	12616782	285	*	nr3c1	8	#7038A8	12616668	12616668	1	cg00291366
chr22	47388274	47388324	51	*	chr22	47388055	47388365	311	*	nr3c1	3	#7038A8	47388211	47388211	1	cg00293439
chr12	86230176	86230226	51	*	chr12	86230004	86230600	597	*	nr3c1	10	#7038A8	86230415	86230415	1	cg00310523
chr11	2397523	2397573	51	*	chr11	2396766	2397584	819	*	nr3c1	6	#7038A8	2397164	2397164	1	cg00319334
chr1	41444812	41444862	51	*	chr1	41444713	41444833	121	*	nr3c1	1	#7038A8	41444794	41444794	1	cg00328724
chr7	41230010	41230060	51	*	chr7	41229518	41230254	737	*	nr3c1	9	#7038A8	41229786	41229786	1	cg00376321
chr14	102459336	102459386	51	*	chr14	102459054	102459399	346	*	nr3c1	2	#7038A8	102459247	102459247	1	cg00380670
chr1	92215283	92215333	51	*	chr1	92215326	92215724	399	*	nr3c1	5	#7038A8	92215496	92215496	1	cg00380807
chr2	120113498	120113548	51	*	chr2	120113377	120113625	249	*	nr3c1	1	#7038A8	120113553	120113553	1	cg00435273
chr16	89019632	89019682	51	*	chr16	89018864	89019906	1043	*	nr3c1	6	#7038A8	89019330	89019330	1	cg00492741
chr3	14989471	14989521	51	*	chr3	14989506	14990007	502	*	nr3c1	9	#7038A8	14989724	14989724	1	cg00496427
chr12	32455325	32455375	51	*	chr12	32455283	32455450	168	*	nr3c1	3	#7038A8	32455380	32455380	1	cg00545801
chr17	79467524	79467574	51	*	chr17	79466955	79467607	653	*	nr3c1	5	#7038A8	79467313	79467313	1	cg00552271
chr13	113296414	113296464	51	*	chr13	113296223	113296452	230	*	nr3c1	1	#7038A8	113296326	113296326	1	cg00557959
chr13	36920965	36921015	51	*	chr13	36920864	36921046	183	*	nr3c1	3	#7038A8	36920977	36920977	1	cg00576301
chr7	1883760	1883810	51	*	chr7	1883606	1883935	330	*	nr3c1	2	#7038A8	1883745	1883745	1	cg00589581
chr20	30145336	30145386	51	*	chr20	30144965	30145396	432	*	nr3c1	2	#7038A8	30145170	30145170	1	cg00591364
chr2	172873900	172873950	51	*	chr2	172873704	172873946	243	*	nr3c1	4	#7038A8	172873836	172873836	1	cg00684018
chr13	114875282	114875332	51	*	chr13	114875277	114875575	299	*	nr3c1	2	#7038A8	114875425	114875425	1	cg00732810
chr11	33992723	33992773	51	*	chr11	33992691	33992884	194	*	nr3c1	1	#7038A8	33992787	33992787	1	cg00748188
chr10	111662876	111662926	51	*	chr10	111662616	111663116	501	*	nr3c1	2	#7038A8	111662866	111662866	1	cg00817464
chr1	45265678	45265728	51	*	chr1	45265302	45266209	908	*	nr3c1	16	#7038A8	45265743	45265743	1	cg00904574
chr1	109817496	109817546	51	*	chr1	109817408	109817996	589	*	nr3c1	11	#7038A8	109817593	109817593	1	cg00908766
chr4	39136939	39136989	51	*	chr4	39136967	39137227	261	*	nr3c1	5	#7038A8	39137124	39137124	1	cg00948209
chr1	55894953	55895003	51	*	chr1	55894717	55895358	642	*	nr3c1	21	#7038A8	55894966	55894966	1	cg00982287
